epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,143.755,1.16121,3.62451,0.02018,0.72216,0.64714,0.71661,0.56359,0.86895,1.16863,0.01872,0.00996283,0.00332094,0.00996283,0.00332094,0.00996283,0.00332094,0.00996283,0.00332094
2,285.197,1.10296,1.53052,0.01905,0.75961,0.70624,0.78526,0.58284,1.00687,1.05525,0.02138,0.0197652,0.0065884,0.0197652,0.0065884,0.0197652,0.0065884,0.0197652,0.0065884
3,417.318,1.17957,1.505,0.02047,0.56778,0.52661,0.54563,0.36241,1.20702,1.73807,0.02939,0.0293696,0.00978985,0.0293696,0.00978985,0.0293696,0.00978985,0.0293696,0.00978985
4,549.221,1.28068,1.65688,0.02261,0.71713,0.61605,0.69543,0.45734,1.3071,1.40291,0.03071,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,680.827,1.25086,1.46341,0.02188,0.71993,0.76368,0.7947,0.56987,1.05521,0.99609,0.02382,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,812.428,1.22364,1.3714,0.02112,0.76994,0.71216,0.80093,0.57084,1.06801,1.03039,0.0254,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,944.866,1.17439,1.30659,0.02004,0.77742,0.74667,0.80858,0.60721,0.97395,0.92147,0.02183,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1080.95,1.16956,1.24112,0.01974,0.8318,0.74697,0.85126,0.65024,0.95932,0.81507,0.02163,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1212.16,1.13661,1.19498,0.01931,0.83973,0.78486,0.85727,0.6732,0.89599,0.75758,0.02007,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1343.27,1.12529,1.1416,0.01894,0.8161,0.79952,0.86763,0.68033,0.90136,0.73984,0.01996,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
